"R0","N","yr","p_free_vx"
1.5,50,38.1397260273973,0.582
1.5,50,38.3041095890411,0.584
1.5,50,38.4684931506849,0.588
1.5,50,38.6328767123288,0.5905
1.5,50,38.7972602739726,0.596
1.5,50,38.9616438356164,0.5985
1.5,50,39.1260273972603,0.6
1.5,50,39.2904109589041,0.6025
1.5,50,39.4547945205479,0.604
1.5,50,39.6191780821918,0.6065
1.5,50,39.7835616438356,0.61
1.5,50,39.9479452054794,0.614
1.5,50,40.1123287671233,0.616
1.5,50,40.2767123287671,0.6185
1.5,50,40.441095890411,0.621
1.5,50,40.6054794520548,0.625
1.5,50,40.7698630136986,0.6285
1.5,50,40.9342465753425,0.631
1.5,50,41.0986301369863,0.6325
1.5,50,41.2630136986301,0.635
1.5,50,41.427397260274,0.6375
1.5,50,41.5917808219178,0.6395
1.5,50,41.7561643835616,0.642
1.5,50,41.9205479452055,0.646
1.5,50,42.0849315068493,0.648
1.5,50,42.2493150684932,0.652
1.5,50,42.413698630137,0.6555
1.5,50,42.5780821917808,0.66
1.5,50,42.7424657534247,0.6645
1.5,50,42.9068493150685,0.6675
1.5,50,43.0712328767123,0.6685
1.5,50,43.2356164383562,0.6725
1.5,50,43.4,0.6755
1.5,50,43.5643835616438,0.678
1.5,50,43.7287671232877,0.681
1.5,50,43.8931506849315,0.6825
1.5,50,44.0575342465753,0.684
1.5,50,44.2219178082192,0.687
1.5,50,44.386301369863,0.689
1.5,50,44.5506849315069,0.6925
1.5,50,44.7150684931507,0.697
1.5,50,44.8794520547945,0.6985
1.5,50,45.0438356164384,0.7005
1.5,50,45.2082191780822,0.7045
1.5,50,45.372602739726,0.707
1.5,50,45.5369863013699,0.7095
1.5,50,45.7013698630137,0.711
1.5,50,45.8657534246575,0.7145
1.5,50,46.0301369863014,0.716
1.5,50,46.1945205479452,0.718
1.5,50,46.358904109589,0.7205
1.5,50,46.5232876712329,0.722
1.5,50,46.6876712328767,0.723
1.5,50,46.8520547945205,0.725
1.5,50,47.0164383561644,0.7265
1.5,50,47.1808219178082,0.7285
1.5,50,47.3452054794521,0.7325
1.5,50,47.5095890410959,0.734
1.5,50,47.6739726027397,0.736
1.5,50,47.8383561643836,0.739
1.5,50,48.0027397260274,0.74
1.5,50,48.1671232876712,0.743
1.5,50,48.3315068493151,0.7445
1.5,50,48.4958904109589,0.745
1.5,50,48.6602739726027,0.7475
1.5,50,48.8246575342466,0.75
1.5,50,48.9890410958904,0.7525
1.5,50,49.1534246575342,0.7535
1.5,50,49.3178082191781,0.7545
1.5,50,49.4821917808219,0.756
1.5,50,49.6465753424658,0.7585
1.5,50,49.8109589041096,0.7595
1.5,50,49.9753424657534,0.7625
1.5,100,0.00273972602739726,0
1.5,100,0.167123287671233,0
1.5,100,0.331506849315069,0
