"R0","N","schedule","p_free_20","p_free_50","se_free_20","se_free_50","p_extinct","se_mp20","se_mp50","mp20","mp50","reps"
1.2,200,"18-month immunity, annual whole-herd booster",0.527,0.999,0.0111640270512033,0.000706753139363385,0,0.000234336083840084,9.99613112565796e-05,0.0524485853453625,0.0213719461027648,2000
1.2,200,"18-month immunity, calves only",0.051,0.6725,0.00491929873051027,0.0104938970358966,0,0.000516034770479113,0.000397803578956342,0.0934252742731251,0.0499375163512879,2000
1.2,200,"18-month immunity, six-monthly whole-herd booster",0.5455,0.9995,0.0111339514548969,0.000499874984371065,0,0.000217954740845664,9.22333364144594e-05,0.0494584462740623,0.0201231298334827,2000
1.2,200,"Lifelong immunity, calves only (paper assumption)",0.3835,0.9985,0.0108726204293169,0.000865375640979091,0,0.000298207557896896,0.000127541497542837,0.0643224262879718,0.0263073239680502,2000
1.2,200,"No vaccination (status quo)",0.0015,0.027,0.000865375640979107,0.00362429303451032,0,0.000808336142945826,0.00090987852202159,0.161734418397349,0.154676842856458,2000
1.5,5,"18-month immunity, annual whole-herd booster",0.9735,1,0.00359150038284837,0,0.0925,0.00217269301883648,0.000930610182824253,0.123159081749829,0.0499362383317993,2000
1.5,5,"18-month immunity, calves only",0.922,0.9985,0.00599649897857074,0.000865375640979091,0.116,0.00310752187023989,0.00160045122492107,0.157500786056948,0.0683761207526629,2000
1.5,5,"18-month immunity, six-monthly whole-herd booster",0.9715,1,0.0037207358143249,0,0.0865,0.00212345639826535,0.00090819906151242,0.11856648606002,0.0481720309206512,2000
1.5,5,"Lifelong immunity, calves only (paper assumption)",0.9625,1,0.00424816136699161,0,0.1095,0.00239793723258299,0.00102581113436516,0.133107629528,0.0544006079062718,2000
1.5,5,"No vaccination (status quo)",0.8395,0.9885,0.00820791538699078,0.00238408787589719,0.1105,0.00422424903712528,0.00266778236826993,0.215353119631172,0.106535029210123,2000
1.5,10,"18-month immunity, annual whole-herd booster",0.937,1,0.00543281694887652,0,0.002,0.00136895723986279,0.00058994185606413,0.0972365543597492,0.0396641073931446,2000
1.5,10,"18-month immunity, calves only",0.7995,0.987,0.00895264625683379,0.00253288373203351,0.002,0.00237335561076863,0.00137870681402828,0.150028340019545,0.0693082784353374,2000
1.5,10,"18-month immunity, six-monthly whole-herd booster",0.9515,1,0.00480352734977121,0,0.001,0.00132556015635834,0.000564562589223117,0.0930138570377826,0.0378291307483688,2000
1.5,10,"Lifelong immunity, calves only (paper assumption)",0.925,1,0.00588960949469487,0,0.002,0.00161618789340718,0.000682367023279882,0.112518095549977,0.0457718563784724,2000
1.5,10,"No vaccination (status quo)",0.606,0.9105,0.0109262070271435,0.00638317123379908,5e-04,0.0034045622466968,0.00278760599819156,0.22906769382609,0.135619403478951,2000
1.5,20,"18-month immunity, annual whole-herd booster",0.8735,1,0.0074329586975847,0,0,0.00102278877735594,0.000436663427148533,0.111268866471238,0.0452537350843678,2000
1.5,20,"18-month immunity, calves only",0.5485,0.946,0.0111276176695643,0.00505390937789747,0,0.00188323331091118,0.00131312723226336,0.180095280082389,0.0902177147014936,2000
1.5,20,"18-month immunity, six-monthly whole-herd booster",0.877,1,0.00734407924793844,0,0,0.000997515473669983,0.00042798000004818,0.105962038280306,0.0431711241203494,2000
