"strategy","revacc","redose_V","shape","k","D","f_bar","label","R0","Rv_bar"
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,1.25,0.699511775607525,"R0 90th pct (9.1)",9.1455004281937,3.44670965342184
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,1.25,0.699511775607525,"R0 median (2.8)",2.80808526201542,1.05829688120541
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,1.5,0.739814324181394,"R0 25th pct (2.0)",1.99157647802648,0.679074603110981
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,1.5,0.739814324181394,"R0 75th pct (4.1)",4.12642819800479,1.40700225260885
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,1.5,0.739814324181394,"R0 90th pct (9.1)",9.1455004281937,3.11837237587839
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,1.5,0.739814324181394,"R0 median (2.8)",2.80808526201542,0.957482379333244
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,2,0.795031609753725,"R0 25th pct (2.0)",1.99157647802648,0.58111381961085
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,2,0.795031609753725,"R0 75th pct (4.1)",4.12642819800479,1.20403332633687
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,2,0.795031609753725,"R0 90th pct (9.1)",9.1455004281937,2.66852754323886
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,2,0.795031609753725,"R0 median (2.8)",2.80808526201542,0.819359522673083
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,2.5,0.831002513752878,"R0 25th pct (2.0)",1.99157647802648,0.517297970960537
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,2.5,0.831002513752878,"R0 75th pct (4.1)",4.12642819800479,1.07181067746766
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,2.5,0.831002513752878,"R0 90th pct (9.1)",9.1455004281937,2.3754793587497
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,2.5,0.831002513752878,"R0 median (2.8)",2.80808526201542,0.729380379991339
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,3,0.856265459355177,"R0 25th pct (2.0)",1.99157647802648,0.472479071967746
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,3,0.856265459355177,"R0 75th pct (4.1)",4.12642819800479,0.978948580205575
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,3,0.856265459355177,"R0 90th pct (9.1)",9.1455004281937,2.16966689588314
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,3,0.856265459355177,"R0 median (2.8)",2.80808526201542,0.666186577940548
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,4,0.889377241589739,"R0 25th pct (2.0)",1.99157647802648,0.413735580737369
"Annual campaign: unprotected animals",TRUE,FALSE,"Gradual waning (exponential)",1,4,0.889377241589739,"R0 75th pct (4.1)",4.12642819800479,0.857235554702041
